step,loss,lr,step_time,total_time,vram_mb
71,3.8610862493515015,1e-05,0.06612610816955566,6.377354383468628,2452.302734375
72,3.482859492301941,1e-05,0.0665137767791748,6.449958801269531,2452.302734375
73,3.171000123023987,1e-05,0.0662682056427002,6.5221288204193115,2452.302734375
74,3.4998583793640137,1e-05,0.06607842445373535,6.59411358833313,2452.302734375
75,4.081061840057373,1e-05,0.06605648994445801,6.666415214538574,2452.302734375
76,3.415831446647644,1e-05,0.06617069244384766,6.738577604293823,2452.302734375
77,3.729529857635498,1e-05,0.0692436695098877,6.813815116882324,2452.302734375
78,3.3801043033599854,1e-05,0.06693887710571289,6.88658332824707,2452.302734375
79,3.5097373723983765,1e-05,0.06623125076293945,6.9588782787323,2452.302734375
80,3.577057361602783,1e-05,0.06661725044250488,7.031864643096924,2452.302734375
81,4.3965678215026855,1e-05,0.06575536727905273,7.10363507270813,2452.302734375
82,2.624683141708374,1e-05,0.0675344467163086,7.17743182182312,2452.302734375
83,3.2899292707443237,1e-05,0.06680512428283691,7.250384092330933,2452.302734375
84,3.9999881982803345,1e-05,0.06541609764099121,7.321690797805786,2452.302734375
85,4.195683717727661,1e-05,0.0653831958770752,7.392950773239136,2452.302734375
86,3.4521909952163696,1e-05,0.06579089164733887,7.464978218078613,2452.302734375
87,3.483046293258667,1e-05,0.06552243232727051,7.536647319793701,2452.302734375
88,3.3528172969818115,1e-05,0.06978392601013184,7.612679719924927,2452.302734375
89,3.029266595840454,1e-05,0.0764768123626709,7.69553804397583,2452.302734375
90,3.74129056930542,1e-05,0.0917348861694336,7.788060188293457,2452.302734375
91,2.7213433980941772,1e-05,0.06570792198181152,7.859407663345337,2452.302734375
92,3.3691951036453247,1e-05,0.06663322448730469,7.9322099685668945,2452.302734375
93,3.8982155323028564,1e-05,0.06502437591552734,8.003041505813599,2452.302734375
94,3.768752932548523,1e-05,0.06432914733886719,8.073592901229858,2452.302734375
95,3.5363309383392334,1e-05,0.06515741348266602,8.144690036773682,2452.302734375
96,3.7455705404281616,1e-05,0.06528639793395996,8.216094255447388,2452.302734375
97,3.7136281728744507,1e-05,0.06511402130126953,8.28731107711792,2452.302734375
98,3.697888493537903,1e-05,0.06467151641845703,8.358285903930664,2452.302734375
99,4.64208197593689,1e-05,0.06487512588500977,8.429213285446167,2452.302734375
100,3.1143722534179688,1e-05,0.06472396850585938,8.500005006790161,2452.302734375
101,4.186387777328491,1e-05,0.06473803520202637,8.571114778518677,2452.302734375
102,4.004317283630371,1e-05,0.06794142723083496,8.645122051239014,2452.302734375
103,4.214125633239746,1e-05,0.0676882266998291,8.718696594238281,2452.302734375
104,3.5001503229141235,1e-05,0.06748032569885254,8.791805267333984,2452.302734375
105,3.4867058992385864,1e-05,0.06813359260559082,8.866021633148193,2452.302734375
106,3.6030768156051636,1e-05,0.0664987564086914,8.938266515731812,2452.302734375
107,4.517327308654785,1e-05,0.06482696533203125,9.009323596954346,2452.302734375
108,3.729133725166321,1e-05,0.06443524360656738,9.079991102218628,2452.302734375
109,2.280905604362488,1e-05,0.06541919708251953,9.151629209518433,2452.302734375
110,3.0888519287109375,1e-05,0.06569671630859375,9.223214864730835,2452.302734375
111,1.98175847530365,1e-05,0.06504201889038086,9.29439115524292,2452.302734375
112,3.332332491874695,1e-05,0.06788897514343262,9.368439674377441,2452.302734375
113,3.3112099170684814,1e-05,0.06756591796875,9.441253185272217,2452.302734375
114,3.823710560798645,1e-05,0.06460857391357422,9.51207685470581,2452.302734375
115,3.7796783447265625,1e-05,0.06471586227416992,9.582922458648682,2452.302734375
116,3.661916136741638,1e-05,0.06550931930541992,9.654762268066406,2452.302734375
117,3.2748208045959473,1e-05,0.06488347053527832,9.725516319274902,2452.302734375
118,4.824834108352661,1e-05,0.0649099349975586,9.79671049118042,2452.302734375
119,3.8798177242279053,1e-05,0.06506896018981934,9.86776351928711,2452.302734375
120,4.077016353607178,1e-05,0.06523609161376953,9.939082384109497,2452.302734375
121,3.796354293823242,1e-05,0.06436634063720703,10.009732246398926,2452.302734375
122,4.041680097579956,1e-05,0.06591320037841797,10.081835985183716,2452.302734375
123,3.3793299198150635,1e-05,0.06506133079528809,10.152974843978882,2452.302734375
124,3.947299361228943,1e-05,0.06553816795349121,10.224529504776001,2452.302734375
125,3.2256332635879517,1e-05,0.06502890586853027,10.295836925506592,2452.302734375
126,3.478492856025696,1e-05,0.06461119651794434,10.366751432418823,2452.302734375
127,4.964609861373901,1e-05,0.06569647789001465,10.438761711120605,2452.302734375
128,4.588322877883911,1e-05,0.06460332870483398,10.50954294204712,2452.302734375
129,5.036703109741211,1e-05,0.06551694869995117,10.58112645149231,2452.302734375
130,4.059473752975464,1e-05,0.06745409965515137,10.654677391052246,2452.302734375
131,2.9611603021621704,1e-05,0.067169189453125,10.727570056915283,2452.302734375
132,4.188663959503174,1e-05,0.06846737861633301,10.801864385604858,2452.302734375
133,3.8131675720214844,1e-05,0.06737256050109863,10.87500810623169,2452.302734375
134,4.112990617752075,1e-05,0.06528759002685547,10.946324586868286,2452.302734375
